収集日時,投稿日時,事業者,本文,判定
2026-07-01 02:21:38,2026-07-01 01:44:38,東京電力,「骨太の方針」原案まとまる 予算編成や財政目標を大転換 予算の話に、東電がやらかしたフクシマの処理費用が出てこない 毎年、所得税に2%上乗せ ジブリはトン単位で貯まっているのに取り出したのはグラム単位 見積もりもできない 東電、どうするんだ news.tv-asahi.co.jp/news_economy/a…,ネガティブ
2026-07-01 02:21:38,2026-06-30 14:53:00,中部電力,中部電力（9502）の株式をすべて売却しました！ なぜなら、 2026 年最強の日本株が誕生するからだ。 関西電力 × 東京電力 × 四国電力 が、 次の「中部電力」 現在：253 円 500 株でも今すぐ買うべき銘柄です。,ポジティブ
2026-07-01 02:21:38,2026-06-30 15:32:00,中部電力,返信先:@Tadashi_Okumura他1人関西電力は稼働しているので電気代が稼働していない地域に比べると６掛けぐらいの料金です。東電や艤装の中部電力は難しいですが、東北電力の女川や北海道電力の泊他は稼働しても良いと思っています。,ニュートラル
2026-07-01 02:21:38,2026-06-30 14:54:00,中部電力,“中国電力全面協力 中電から直”,ニュートラル
2026-07-01 02:21:38,2026-06-30 15:00:00,関西電力,関西電力、社会貢献でポイントがたまるアプリ「モアクト」で新会社 - 日本経済新聞 nikkei.com/article/DGXZQO…,ポジティブ
2026-07-01 02:21:38,2026-06-30 15:32:00,関西電力,返信先:@Tadashi_Okumura他1人関西電力は稼働しているので電気代が稼働していない地域に比べると６掛けぐらいの料金です。東電や艤装の中部電力は難しいですが、東北電力の女川や北海道電力の泊他は稼働しても良いと思っています。,ニュートラル
2026-07-01 02:21:38,2026-06-30 15:08:00,関西電力,返信先:@mamiananekoさる解同の講演に参加して人権を訴えた与党議員さんに批判を加えた件 人権を否定するなと反駁される 誤解は解けたと思いますが議員でありながら関西電力が解同に多額の資金を提供し今も提供し続ける意味を知らない訳がありません 近付くなの問いに明確な回答はなかったと思います 切れないのでしょうね,ネガティブ
2026-07-01 02:21:38,2026-06-30 14:59:00,関西電力,さようなら関電😿webテスト夏仕上げるから再チャレンジさせて,ポジティブ
2026-07-01 02:21:38,2026-06-30 15:45:00,関西電力,返信先:@277kl俺も関電と大ガス受けて終わる。ちなみに、本体はマジで早慶がボリュームらしいからグループ企業のがいいと思う,ポジティブ
2026-07-01 02:21:38,2026-06-30 15:11:00,関西電力,返信先:@UmetaroUme54129友達は良く考えて選びましょう。 2011年12月、栗東市は全国自治体のトップを切って福島県からの避難者の追い出しを表明しましたが、当時栗東市職員だったあなたの考えは？ 関電の福井県の原発群への考え方は？,ニュートラル
2026-07-01 02:21:38,2026-06-30 15:07:00,九州電力,どうしようかな。金曜日には九電前に行くかな？,ニュートラル
2026-07-01 02:21:38,2026-06-30 16:29:00,九州電力,返信先:@takaichi_sanae九電はやらかしてるんだから、流出した個人情報の電気代は永年無料にしてほしいくらいだね。,ネガティブ
2026-07-01 02:21:38,2026-06-30 04:40:00,九州電力,え、この１ヶ月で3000万件ぐらい流出してるってこと？？ 九電、KDDI、アフラック x.com/livedoornews/s…,ニュートラル
2026-07-01 02:21:38,2026-06-30 14:58:00,九州電力,【速報】九電社長、九州ほぼ全域の顧客情報紛失謝罪 #47NEWS 47news.jp/14523980.html @47news_officialより は？,ネガティブ
2026-07-01 02:21:38,2026-06-30 06:59:00,九州電力,計画的犯行？ 【速報】九電社長、九州ほぼ全域の顧客情報紛失謝罪 #47NEWS 47news.jp/14523980.html @47news_officialから,ネガティブ
2026-07-01 02:21:38,2026-06-30 05:48:00,九州電力,ごめんで済むんや 【速報】九電社長、九州ほぼ全域の顧客情報紛失謝罪 #47NEWS 47news.jp/14523980.html @47news_officialから,ネガティブ
2026-07-01 02:21:38,2026-07-01 02:08:48,九州電力,これはなかなかよろしくないのでは… 【速報】九電社長、九州ほぼ全域の顧客情報紛失謝罪 #47NEWS 47news.jp/14523980.html @47news_officialより,ネガティブ
2026-07-01 02:21:38,2026-07-01 01:33:36,オクトパスエナジー,"オクトパスエナジー検討中の方がいたら良かったらリンクから紹介特典利用してみてください この紹介用URLからオクトパスエナジーに切り替えて、8,000円分のボーナスをゲットしよう！： octopusenergy.co.jp/friend/dusk-qu… #タコ友",ポジティブ
2026-07-01 04:14:45,2026-06-30 17:45:00,北海道電力,返信先:@Awed_Urshy他1人その前に、 まず、安定したクリーンなSine波を供給する電力会社を選んで、移住します。ｗ 北海道電力はどうですか？,ニュートラル
2026-07-01 04:14:45,2026-07-01 03:17:50,北海道電力,北電だやい止O岬こ@geocape_H58分前,ニュートラル
2026-07-01 04:14:45,2026-06-30 18:02:00,東京電力,東京電力からのお知らせで停電情報出てるよ🫨💦 pic.x.com/C4BT6AdANx,ニュートラル
2026-07-01 04:14:45,2026-06-30 18:00:00,東京電力,【速報】東京 大田区で停電 約2220軒 東京電力 newsdigest.jp/news/08d97d67-…,ニュートラル
2026-07-01 04:14:45,2026-07-01 04:01:17,東京電力,福島県［郡山IC］から青森県［三沢 十和田 下田IC］まで放射線量をはかりました。 ④07/01(水)「東北道［仙台市-栗原市］（宮城県）」#放射線量マップ ameblo.jp/koken-josen-ne… ※#行健除染ネット は市民ボランティアです。 -行健（こうけん）除染Net- 被ばく 原発問題 原発事故 東京電力 福島第一原発,ニュートラル
2026-07-01 04:14:45,2026-07-01 04:13:47,東京電力,東電さん朝方からおつかれさまです…ありがとう,ポジティブ
2026-07-01 04:14:45,2026-07-01 03:55:47,東京電力,通りすがりに東電さんだーご苦労様だーて見てたら普通に一方通行逆走してて草,ネガティブ
2026-07-01 04:14:45,2026-07-01 03:50:47,東京電力,MKS圧着ペンチDT-8中古。東電型でレトロ工具としてしっかりしてそう。 MKS 圧着ペンチ 圧着工具 電気工事 DT-8 jp.mercari.com/item/m17101157…,ニュートラル
2026-07-01 04:14:45,2026-07-01 03:28:47,東京電力,返信先:@sawaimegumi0そもそも海水で薄めても薄めなくても海に流せば同じ。 だから東電は２０５１年に残った処理水を福島沖に一気に放出する皮算用（ついでにデブリとともに）。 海流の関係でそのほとんどが福島に留まることも東電は知ってるはずです。,ニュートラル
2026-07-01 04:14:45,2026-07-01 03:28:47,東京電力,返信先:@7771155nどうにもならないのが困りましたねぇ…4:30復帰見込みと東電さんは仰られているので、それまではがまんですね…まだそんなに気温が高くないのもよかったです 外も明るくはなってきてはいますが、足元不安ですしどうぞご安全にお過ごしください🥲,ネガティブ
2026-07-01 04:14:45,2026-06-30 17:27:00,中部電力,【現地記録】 2026年6月17日撮影 現地の様子、中部電力電柱より市道の側溝へ配線。側溝内から現場事務所へ配線。 工事の進捗に伴う周辺環境の変化を確認するため、継続的に記録していきます。 pic.x.com/qafpkJe6E3,ニュートラル
2026-07-01 04:14:45,2026-07-01 04:11:40,中部電力,中電に問い合わせたところ自然災害による停電 雷なのか?さらに問い合わせたところ蛇だった NTT東日本に問い合わせたところフレッツ光ではなくドコモ光 変えたんだっけ遠い記憶 ドコモによると端末までは繋がっているらしい,ニュートラル
2026-07-01 04:14:45,2026-06-30 17:37:00,関西電力,やっば経済的、技術的に無理ゲー、ダメじゃん “関西電力では、3原発のプールが28年度ごろから順次満杯になる。満杯になれば運転できなくなる” 核燃サイクル、行き詰まる日本 再処理工場動いても余るプルトニウム：朝日新聞 asahi.com/articles/ASV6V… #,ネガティブ
2026-07-01 04:14:45,2026-07-01 04:10:56,中国電力,中電に問い合わせたところ自然災害による停電 雷なのか?さらに問い合わせたところ蛇だった NTT東日本に問い合わせたところフレッツ光ではなくドコモ光 変えたんだっけ遠い記憶 ドコモによると端末までは繋がっているらしい,ニュートラル
2026-07-01 04:14:45,2026-06-30 17:53:00,四国電力,◼️6月30日（火）開示から ※備忘 ⚫︎インテグループ〈192A〉 →今期経常2.5倍増益 ⚫︎建設技術研〈9621〉 →兵庫県空飛ぶクルマ事業化に採択 ⚫︎まんだらけ〈2652〉 →5月も増益基調 ◼️動意株から ⚫︎Hmc com〈265A〉 →四国電力に設備監視開始 ⚫︎ミライニ〈546A〉 →上期経常63%上方修正,ニュートラル
2026-07-01 04:14:45,2026-06-30 18:08:00,九州電力,返信先:@himuroReborn398契約してる九電の情報流出したからか、海外から着信きました もちろんシカトw,ニュートラル
2026-07-01 06:12:06,2026-06-30 18:18:00,北海道電力,北電だやい止O岬こ@geocape_H18:18,ネガティブ
2026-07-01 06:12:06,2026-06-30 19:47:00,東京電力,ソニーグループ300株、任天堂200株、イオン1000株、東京電力3株買った,ニュートラル
2026-07-01 06:12:06,2026-06-30 19:36:00,東京電力,東京電力の自作自演犯罪 | bluesky&bluebird ameblo.jp/blueblue2463/e… #Amebaブログ #アメブロ,ネガティブ
2026-07-01 06:12:06,2026-06-30 19:52:00,東京電力,「30年後の東電は原発か再エネか」3.11経験の株主が質問 | 環境エネルギー最前線 | 川口雅浩 | 毎日新聞「経済プレミア」 share.google/J88eTNslAbuC4C…,ニュートラル
2026-07-01 06:12:06,2026-07-01 05:16:04,東京電力,新潟県議会で“東電拠出金”1000億円の活用案議論 『安全・防災対策』に400億円 『地域・産業振興』『電気代補助』にそれぞれ300億円 zugadoon.tk/imakore/?p=230,ニュートラル
2026-07-01 06:12:06,2026-06-30 19:59:00,東京電力,【消えた安全装置】専門家が真っ青になった、ある組織が隠したかった不都合な真実とは youtube.com/shorts/K3QuPLC… 東日本大震災の原発事故のとき…一番重要な冷却装置を取り外してたらしい… 完全に人災…なのに東電はその後、多額の補助金をもらっている…外道?悪魔?…怒,ネガティブ
2026-07-01 06:12:06,2026-07-01 05:32:04,東京電力,毎朝朝礼で「ばっきそうSVはほにゃららです」と報告 懐かしいな 現役の頃 北里大相模原病院の手術棟の端っこの中央監視室にいた頃 東電からの連絡でシンクロさせて特別高圧6万6千ボルトのバンク切り替えもやった 24時間⏳勤務 緊急事態流石に正月7連勤は気が狂いそうになった pic.x.com/uwzqRqGGzc,ネガティブ
2026-07-01 06:12:06,2026-06-30 19:57:00,関西電力,返信先:@SazabyMKII実家じゃない🥹兄とシェアしてるから、実質家賃は22000円🥹 都市ガスと関電の組み合わせは安い😃,ポジティブ
2026-07-01 06:12:06,2026-07-01 06:02:41,九州電力,ひびきウインドエナジー株式会社 第9期決算公告 福岡県北九州市若松区 電源開発(証券コード: 9513) 九州電力(証券コード: 9508) 西部ガスホールディングス(証券コード: 9536) クラフティア(証券コード: 1959) の関連会社 売上高：13億800万円 純利益：▲63億9000万円,ニュートラル
